Sector de actividad económica;Tipo de equipo e instalación;Ámbito medioambiental;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2020;6.855
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2019;5.342
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2018;8.534
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2017;11.605
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2016;5.682
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2015;12.659
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2014;41.634
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2013;0
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2012;0
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2011;24.383
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2010;0
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2009;71.970
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;04 Balears, Illes;2008;4.908
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2020;40.014
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2019;15.704
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2018;58.168
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2017;547.750
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2016;534.055
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2015;560.170
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2014;76.972
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2013;0
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2012;21.946
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2011;21.703
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2010;35.367
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2009;6.700
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;05 Canarias;2008;0
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2020;99.651
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2019;1.178.675
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2018;511.159
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2017;345.121
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2016;221.124
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2015;27.930
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2014;65.314
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2013;82.392
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2012;5.110
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2011;324.456
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2010;281.787
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2009;140.386
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;06 Cantabria;2008;220.026
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2020;667.746
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2019;827.555
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2018;423.083
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2017;676.225
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2016;449.656
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2015;708.336
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2014;707.984
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2013;258.659
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2012;546.850
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2011;1.759.762
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2010;2.292.691
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2009;1.703.089
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;07 Castilla y León;2008;806.319
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2020;61.004
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2019;218.902
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2018;1.147.172
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2017;489.817
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2016;139.846
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2015;278.101
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2014;282.615
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2013;119.794
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2012;164.658
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2011;568.032
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2010;31.066
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2009;593.302
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;08 Castilla - La Mancha;2008;400.393
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2020;717.637
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2019;510.768
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2018;986.501
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2017;1.382.770
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2016;1.450.402
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2015;3.162.564
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2014;2.055.608
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2013;1.459.165
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2012;3.128.091
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2011;2.497.839
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2010;6.114.495
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2009;4.659.261
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;09 Cataluña;2008;2.655.812
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2020;990.849
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2019;568.138
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2018;528.051
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2017;1.114.411
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2016;430.589
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2015;946.454
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2014;1.099.633
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2013;479.642
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2012;77.661
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2011;23.868.006
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2010;1.053.501
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2009;512.176
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;10 Comunitat Valenciana;2008;276.783
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2020;34.609
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2019;52.745
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2018;35.012
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2017;22.618
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2016;5.682
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2015;65.092
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2014;253.917
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2013;132.517
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2012;456
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2011;41.502
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2010;25.850
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2009;291.418
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;11 Extremadura;2008;62.879
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2020;961.208
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2019;646.308
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2018;1.038.992
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2017;603.887
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2016;676.436
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2015;1.314.029
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2014;1.624.517
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2013;1.942.309
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2012;2.349.771
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2011;1.248.160
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2010;683.846
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2009;291.437
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;12 Galicia;2008;523.678
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2020;329.452
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2019;1.065.078
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2018;835.310
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2017;317.319
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2016;131.482
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2015;406.708
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2014;342.336
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2013;171.417
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2012;789.042
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2011;539.074
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2010;277.787
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2009;476.290
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;13 Madrid, Comunidad de;2008;223.579
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2020;1.116.081
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2019;141.538
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2018;647.549
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2017;29.886
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2016;143.320
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2015;102.481
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2014;342.952
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2013;14.958
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2012;49.015
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2011;2.529.567
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2010;119.466
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INTEGRADOS;Protección y descontaminación de suelos, aguas subterráneas y superficiales;Total Nacional;14 Murcia, Región de;2009;166.881
