Sector de actividad económica;Tipo de equipo e instalación;Ámbito medioambiental;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;02 Aragón;2009;8.160.554
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;02 Aragón;2008;15.317.462
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2020;12.153.041
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2019;27.630.798
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2018;10.552.904
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2017;12.053.310
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2016;10.195.558
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2015;17.644.128
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2014;4.526.923
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2013;8.089.672
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2012;6.469.551
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2011;11.280.587
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2010;14.412.082
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2009;5.310.204
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;03 Asturias, Principado de;2008;14.067.768
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2020;164.460
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2019;151.209
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2018;81.152
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;04 Balears, Illes;2017;176.235
